127.0.0.1, 2016-03-26 00:46:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS, HTTP/1.1, 200, 0.039090
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000532
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000331
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000395
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000900
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.001443
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.001491
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.001893
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000256
127.0.0.1, 2016-03-26 00:46:19, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000653
127.0.0.1, 2016-03-26 00:46:20, GET, /GRS/static/images/background.jpg, HTTP/1.1, 304, 0.000435
127.0.0.1, 2016-03-26 00:46:20, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001342
127.0.0.1, 2016-03-26 00:46:20, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000666
127.0.0.1, 2016-03-26 00:46:20, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.002495
127.0.0.1, 2016-03-26 00:46:20, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000269
127.0.0.1, 2016-03-26 00:46:20, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000419
127.0.0.1, 2016-03-26 00:46:50, GET, /GRS, HTTP/1.1, 500, 0.042190
127.0.0.1, 2016-03-26 00:46:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS, HTTP/1.1, 200, 0.028941
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000719
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000585
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000845
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001336
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000837
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.001315
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.002656
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002851
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2016-03-26 00:47:04, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2016-03-26 00:47:05, GET, /GRS/static/images/background.jpg, HTTP/1.1, 304, 0.000480
127.0.0.1, 2016-03-26 00:47:05, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000433
127.0.0.1, 2016-03-26 00:47:05, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000386
